LAT,LONG,NAME
34.7311921,-84.9363326,Southeast Whitfield County High School
32.5381957,-84.9354871,Blanchard Elementary School
34.4929439,-84.935489,Calhoun Elementary
32.4840309,-84.9346533,Saint Ann School
34.7406364,-84.9343881,Antioch School
32.4140335,-84.9340969,Benning Hill School
32.4831977,-84.93382,School of the Holy Family
32.4826421,-84.9335422,Pacelli High School
31.3754533,-84.9332586,Early-Miller Training Center
32.4912529,-84.9329868,Hallie Turner School
32.4023673,-84.9327078,Frank Lloyd Elementary School
32.4295885,-84.9310415,Cusseta Road Elementary School
34.7648025,-84.9299437,Union Point School (historical)
34.1463027,-84.9289305,Woodland Middle School at Euharlee
31.3926751,-84.9282584,Early County Elementary School
34.1500675,-84.9282438,Euharlee Elementary School
34.7450807,-84.9279991,East Brook High School
32.5034746,-84.9279869,Gentian Elementary School
34.7586915,-84.9271658,East Side School
32.4845864,-84.9265977,Edgewood Elementary School
33.7345458,-84.9263298,Villa Rica Elementary School
30.9007434,-84.9257582,Holy Neck School
33.6728866,-84.9249411,Flat Rock School (historical)
31.3035109,-84.9249253,Byron School (historical)
32.9056841,-84.9243782,Oak Grove School (historical)
34.5199763,-84.9238761,Ashworth Middle School
33.1692881,-84.9224362,West End School
34.5174587,-84.9221509,Gordon Central High School
34.5151885,-84.9220994,Gordon County School System Central Office
32.3954231,-84.9213186,Morris R McBride Elementary School
32.4545875,-84.9210416,Dimon Elementary School
32.4431991,-84.9199303,Saint Marys Elementary School
32.5248627,-84.9196534,Morningside Elementary School
33.4051152,-84.9182718,Mount Carmel School (historical)
32.4684758,-84.9179863,Eastway School
33.3809491,-84.9171604,Providence School (historical)
33.4970571,-84.9171617,Whitesburg Elementary School
32.4679204,-84.916875,Rothschild Junior High School
34.3398068,-84.9168641,Adairsville High School
33.320673,-84.9160486,Corner Branch School (historical)
33.3253951,-84.9157709,Smyrna School (historical)
34.4570329,-84.9152197,Belwood School
32.0232124,-84.9140928,Oak Grove School (historical)
33.7273261,-84.9132982,Glandson-Hindsman Elementary (was Villa Rica Primary School)
34.4237006,-84.9132752,Spring Hill School (historical)
32.5015302,-84.9107643,Reese Road Elementary School
32.5584726,-84.9099312,William Henry Shaw High School
34.3317589,-84.909664,Stoners School (historical)
33.1695658,-84.9093802,Hogansville High School
32.4451434,-84.9065969,Saint James School
33.176788,-84.904658,T Eugene Crocker Primary School
34.4561997,-84.9021637,Blackwood School (historical)
32.8440193,-84.899377,Old Hopewell School (historical)
31.1204604,-84.8988138,McCormick School (historical)
31.2362908,-84.8985357,Griggs School (historical)
32.4881973,-84.8979863,Fort Junior High School
33.5320564,-84.8966059,Mount Airey School (historical)
33.8106613,-84.894941,New Georgia Elementary School
32.4773643,-84.8935415,Wesley Heights Elementary School
34.5578636,-84.892997,Rowland Hill School (historical)
32.1457092,-84.8929819,Athens Hill School
31.4529515,-84.8927016,Colomokee School (historical)
32.0671001,-84.892148,Providence School (historical)
32.0637668,-84.8918702,Bluff Springs School
33.0381806,-84.891323,Mount Pleasant School
33.3903934,-84.8888265,Western High School
32.4659758,-84.8879858,Georgetown Elementary School
32.4676424,-84.887708,Kendrick High School
31.158515,-84.8871466,Spooners School (historical)
34.6270284,-84.8866083,Union Grove School (historical)
30.8285227,-84.8860341,Fairchild School (historical)
32.5209738,-84.8843751,Waddell Elementary School
34.9589657,-84.8827212,Tuckers School (historical)
30.9479646,-84.8827019,Griselda School
32.4873638,-84.8815971,Forrest Road School
33.2851184,-84.8813252,New Hope School (historical)
31.0324071,-84.8810356,Seminole County Senior High School
31.0510177,-84.8807578,Southeastern Holiness Institute
31.0357404,-84.8799245,Seminole County Elementary School
34.1617636,-84.8796633,Mission Road Elementary School
34.4992541,-84.8791074,Cat Den School (historical)
33.3315061,-84.87827,Wesley School (historical)
34.8203573,-84.8774423,Dawnville School
32.7640216,-84.8765979,Harris County Middle School
33.43817,-84.8735487,Arnco-Sargent School
32.5168073,-84.8735416,Quick Start Vocational School
32.7581885,-84.8718755,Park Elementary School
31.0437957,-84.8707574,Seminole County Primary School
33.4484474,-84.8702155,Farmers School (historical)
32.667358,-84.869653,Cataula School
34.2798161,-84.8688293,Pettit School (historical)
32.750411,-84.8688198,Harris County High School
34.8800784,-84.8685535,Deep Spring School (historical)
31.5201719,-84.8679786,Bluffton High School (historical)
33.5228901,-84.8674383,New Watson School (historical)
31.5232274,-84.867423,County School Number 2
34.2392617,-84.8657736,Hamilton Crossing Elementary School
34.2409283,-84.8654959,Hamilton Crossing School
34.5798076,-84.8632738,Pine Chapel School (historical)
32.4684756,-84.862152,Midway School (historical)
32.0076572,-84.8618691,Green Grove School
31.1979587,-84.8602012,Porto Rico School (historical)
32.8609634,-84.859376,Dunbar School
34.2423172,-84.8541066,Cass Middle School
32.6556918,-84.8540971,Clowers School (historical)
34.4084235,-84.8535509,Plainview School (historical)
32.8679078,-84.8529871,Chipley School
31.3526769,-84.852145,Saint Johns School (historical)
33.3534499,-84.8518806,Huggin School (historical)
30.8507445,-84.851589,F D R School (historical)
31.2276803,-84.8515898,Kaney Head School (historical)
33.6178881,-84.8482716,South Douglas Elementary School
33.5281678,-84.8474377,Rock Spring School (historical)
34.918411,-84.8471641,Beaverdale School (historical)
32.0718223,-84.8471469,Greater New Hope School (historical)
